Epoch: 71 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 72 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 73 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 74 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 75 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 75 | Validation: Loss: 6.907256667026169e-06 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 76 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 77 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 78 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 79 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 80 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 80 | Validation: Loss: 6.520976791892151e-06 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 81 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 82 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 83 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 84 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 85 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 85 | Validation: Loss: 6.044357132850564e-06 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 86 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 87 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 88 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 89 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 90 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 90 | Validation: Loss: 5.515432725847599e-06 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 91 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 92 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 93 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 94 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 95 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 95 | Validation: Loss: 4.977176396485967e-06 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 96 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 97 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 98 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 99 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 100 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 100 | Validation: Loss: 4.461320733233671e-06 mIOU: [1. 0.] mAP: [1. 0.]
